"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Change Request","Priority","Severity","Type"
1697913,"Firefox","Address Bar","nobody","NEW"," ---","(Proton) icons in address bar look unbalanced due to different spacing if there is a combined permission icon"," ---","P2","S3","defect"
1699549,"Firefox","Bookmarks & History","nobody","NEW"," ---","Tag selector richlistbox in bookmarks panel should use Proton-style checkboxes when Proton is enabled"," ---","P2"," --","task"
1699699,"Firefox","Nimbus Desktop Client","nobody","NEW"," ---","Add logo always on to new tab nimbus feature"," ---","P2"," --","enhancement"
1699852,"Firefox","Messaging System","nobody","NEW"," ---","Add Pin Launcher Behavior to Set to Default API"," ---","P2","S3","enhancement"
1700117,"Firefox","Tabbed Browser","nobody","NEW"," ---","Highlight differs on the tabs bar on Windows 7"," ---","P2","S4","defect"
1700190,"Firefox","Session Restore","nobody","NEW"," ---","Session restore fails when there are gaps in data for embedded frames"," ---","P2","S3","defect"
1700636,"Firefox","Private Browsing","nobody","NEW"," ---","Consider informing about/promoting dFPI on about:privatebrowsing"," ---","P2"," --","enhancement"
1700996,"Firefox","Theme","nobody","NEW"," ---","Dark theme ""Find in page"" infobar navigation buttons are too dark on MacOS"," ---","P2","S3","defect"
1700997,"Firefox","Nimbus Desktop Client","nobody","NEW"," ---","Expose the active experiment list to Remote Feature Defaults"," ---","P2"," --","enhancement"
1701005,"Firefox","Messaging System","nobody","NEW"," ---","Change primary password required infobar to informational"," ---","P2","S4","task"
1701010,"Firefox","Menus","nobody","NEW"," ---","Proton Zoom control hover / active states do not match the hover / active states of the other items in the menu"," ---","P2","S4","task"
1701012,"Firefox","Menus","nobody","NEW"," ---","Firefox Account menu display name / email under ""Manage Account"" in FxA panel should use the default font colour"," ---","P2","S4","task"
1701022,"Firefox","Menus","nobody","NEW"," ---","FxA menu should ensure 8px of spacing around its edge, even after expanding the list of synced tabs"," ---","P2","S4","defect"
1701024,"Firefox","Menus","nobody","NEW"," ---","Reopen All X footer item in Recently Closed Tabs / Recently Closed Windows has incorrect left alignment"," ---","P2","S4","defect"
1701026,"Firefox","Menus","nobody","NEW"," ---","More space expected between toolbarseparator and device name in FxA panel"," ---","P2","S4","defect"
1701035,"Firefox","Theme","nobody","NEW"," ---","[Proton Tabs Bar] Tab with long tab title flickers when hovering over it"," ---","P2"," --","defect"
1701044,"Firefox","Site Permissions","nobody","NEW"," ---","Auto-select first item in WebRTC screen/window sharing menulist, and remove ""Select screen or window"" default item"," ---","P2","N/A","task"
1701050,"Firefox","Site Permissions","nobody","NEW"," ---","Change ""Blocked Temporarily"" and ""Allows Temporarily"" strings to just be ""Blocked"" and ""Allowed"""," ---","P2"," --","task"
1701068,"Firefox","Theme","nobody","NEW"," ---","WebAuthn ""Cancel"" button in panel is too wide with Proton enabled"," ---","P2"," --","defect"
1701069,"Firefox","Theme","nobody","NEW"," ---","First line in DoH panel has an inflated font-size when Proton is enabled"," ---","P2"," --","defect"
1701072,"Firefox","Site Permissions","nobody","NEW"," ---","Fix spacing issues around items in the Permission management panel"," ---","P2","N/A","task"
1701096,"Firefox","Bookmarks & History","nobody","NEW"," ---","Apply Proton styles to Bookmarks Panel folder tree and new folder button"," ---","P2"," --","task"
1701240,"Firefox","Nimbus Desktop Client","nobody","NEW"," ---","Rename ""fallbackPref"" in the feature manifest to userPreference"," ---","P2"," --","enhancement"
1701479,"Firefox","Tabbed Browser","nobody","NEW"," ---","Keyboard focus ring around tab covers container line indicator"," ---","P2"," --","defect"
1701598,"Firefox","Menus","nobody","NEW"," ---","FxA synced devices toolbar separators are not properly aligned"," ---","P2","S4","defect"
1701628,"Firefox","Menus","nobody","NEW"," ---","FxA synced devices toolbar separators have wrong color using dark theme"," ---","P2","S4","defect"
1701779,"Firefox","Bookmarks & History","nobody","NEW"," ---","(Proton) missing separator in bookmarks toolbar button menu"," ---","P2"," --","defect"
1701902,"Firefox","about:logins","nobody","NEW"," ---","The ""Try Again..."" string from the ""Import Error"" modal exceeds the button's area on specific languages (Russian)"," ---","P2","S4","defect"
1701943,"Firefox","Theme","nobody","NEW"," ---","New Tab button styling looks different from tabs"," ---","P2"," --","defect"
1702149,"Firefox","about:logins","nobody","NEW"," ---","[Enhancement] Consider automatically adding the protocol for URLs that don’t have it when importing a CSV file"," ---","P2","S3","enhancement"
1702226,"Firefox","Menus","nobody","NEW"," ---","The Manage Devices... option is too close to the bottom edge of the Send Tab to Device submenu"," ---","P2","S4","defect"
1702235,"Firefox","Bookmarks & History","nobody","NEW"," ---","Put ""separate tags with commas"" below the tags text input in the Bookmarks Panel"," ---","P2"," --","task"
1702430,"Firefox","Theme","nobody","NEW"," ---","[win7] Minimize, Maximize and Close buttons are lacking contrast if Default/Light/Dark theme is used"," ---","P2","S3","defect"
1702453,"Firefox","Theme","nobody","NEW"," ---","Ubuntu OS theme impacts buttons on about pages color scheme"," ---","P2","S3","enhancement"
1702472,"Firefox","Tabbed Browser","nobody","NEW"," ---","Media controller icon doesn't go away after hovering away from the tab on RTL builds"," ---","P2","S3","defect"
1702480,"Firefox","Tabbed Browser","nobody","NEW"," ---","Dark theme isn't reflected on the tabs bar on Windows 7"," ---","P2","S3","defect"
1702548,"Firefox","Theme","nobody","NEW"," ---","White line under tabs with custom theme and Proton enabled"," ---","P2"," --","defect"
1702561,"Firefox","Toolbars and Customization","nobody","NEW"," ---","Hamburger menu icon padding is overlapped when window is reduced to minimum width"," ---","P2","S4","defect"
1702645,"Firefox","Theme","nobody","NEW"," ---","favicon's red crash badge is centered in the favicon instead of the upper right corner (regression in Firefox 88)"," ---","P2","S3","defect"
1702702,"Firefox","Theme","nobody","NEW"," ---","about:addons - adjust thickness for theme selector line for default theme names to be the same as on custom ones"," ---","P2","S4","defect"
1702945,"Firefox","Menus","nobody","NEW"," ---","Bookmarks toolbar menu button submenus are missing rounded corners and parts of the shadow in Proton"," ---","P2","S4","defect"
1702968,"Firefox","Toolbars and Customization","nobody","NEW"," ---","Bookmark Button on Toolbar - Proton Bookmark submenu shadow doesn't match main menu shadow"," ---","P2","S3","defect"
1702987,"Firefox","Menus","nobody","NEW"," ---","Remove icon for Bookmarks Toolbar menuitem in native menubar"," ---","P2","S4","defect"
1702992,"Firefox","Bookmarks & History","nobody","NEW"," ---","Bookmarks Panel expanders should have a border radius of 4px when Proton is enabled"," ---","P2"," --","task"
1702994,"Firefox","Bookmarks & History","nobody","NEW"," ---","Bookmarks Panel buttons have the wrong padding with Proton enabled"," ---","P2"," --","task"
1702995,"Firefox","Bookmarks & History","nobody","NEW"," ---","Spacing above and below the ""Show editor when saving"" checkbox should be 16px when Proton is enabled"," ---","P2"," --","task"
1702998,"Firefox","Bookmarks & History","nobody","NEW"," ---","Bookmarks Panel gets wide when opening the folder tree"," ---","P2"," --","defect"
1703005,"Firefox","Bookmarks & History","nobody","NEW"," ---","Margin between folder menulist and folder tree selector is too large with Proton enabled"," ---","P2"," --","task"
1703006,"Firefox","Bookmarks & History","nobody","NEW"," ---","Folder tree and tag selector in the Bookmarks Panels should have a 4px border-radius with Proton enabled"," ---","P2"," --","task"
1703008,"Firefox","Bookmarks & History","nobody","NEW"," ---","Some folder tree and icon colours are wrong in the Bookmarks Panel with Dark Theme enabled"," ---","P2"," --","task"
1703009,"Firefox","Bookmarks & History","nobody","NEW"," ---","Fix spacing issues in the tag selector in the Bookmarks Panel when Proton is enabled"," ---","P2"," --","task"
1703020,"Firefox","Menus","nobody","NEW"," ---","Various issues in the Library panel when Proton is enabled"," ---","P2","S3","task"
1703029,"Firefox","Theme","nobody","NEW"," ---","Container tab indicator barely visible with certain themes"," ---","P2"," --","defect"
1703042,"Firefox","Bookmarks & History","nobody","NEW"," ---","History panel width is incorrect with Proton enabled"," ---","P2"," --","task"
1703046,"Firefox","Menus","nobody","NEW"," ---","Developer Tools menu subview header is too large when Proton is enabled"," ---","P2","S4","task"
1703053,"Firefox","Sync","nobody","NEW"," ---","Syncing spinner should be right-aligned in menu item when Proton is enabled"," ---","P2"," --","task"
1703148,"Firefox","Sync","nobody","NEW"," ---","Opening the synced tabs menu panel when proton is enabled results in an immediate scrollbar & has constricted width"," ---","P2"," --","enhancement"
1703203,"Firefox","Downloads Panel","nobody","NEW"," ---","Some strings are not written in lower case in the Download Menu panel"," ---","P2","S3","defect"
1703235,"Firefox","Messaging System","nobody","NEW"," ---","Pop-up blocked infobar's options button doesn't match the one from proton spec"," ---","P2","S3","defect"
1703400,"Firefox","Menus","nobody","NEW"," ---","Hide spell check items in the context menu for login username fields (and disable spellcheck?)"," ---","P2","S4","defect"
1703587,"Firefox","Menus","nobody","NEW"," ---","The icons are missing from FxA  notifications for  Finish Account Setup / You've been disconnected"," ---","P2","S3","defect"
1703739,"Firefox","Preferences","nobody","NEW"," ---","Preferences - Keyboard TAB navigation on Applications section selects only 1st option then jumps to the next checkbox"," ---","P2","S4","defect"
