Bug ID,Product,Component,Assignee,Status,Resolution,Summary,Change Request,Priority,Severity
1600035,Firefox,Address Bar,nobody,RESOLVED,WONTFIX,The user cannot navigate through the one-click search engines by using Alt + Up/Down arrows on Ubuntu 16, ---,P3,normal
1600210,Firefox,Sync,nobody,RESOLVED,WORKSFORME,Lockwise on Desktop unexpectedly retains saved passwords after signing out, ---,P3,normal
1600258,Firefox,Session Restore,nobody,RESOLVED,INCOMPLETE,"Firefox displaying blank page, not ""Firefox Home"" though configured", ---,P3,S2
1600393,Firefox,Session Restore,nobody,RESOLVED,INCOMPLETE,Previous session does not restore, ---,P3,S2
1600458,Firefox,Address Bar,nobody,RESOLVED,DUPLICATE,Ctrl + Backspace does not deletes word while all text is selected, ---,P3,S3
1600489,Firefox,Private Browsing,nobody,RESOLVED,WORKSFORME,Private browsing window option & button not working, ---,P3,normal
1600710,Firefox,Sync,nobody,RESOLVED,WONTFIX,"In Bookmarks Toolbar, if >1 folder has (no title), upon syncing, all bookmarks across both folders will end up in one folder, and the other will be empty.", ---,P3,S4
1601082,Firefox,Untriaged,nobody,RESOLVED,WONTFIX,Crash on some window focus changes under Wayland, ---,P3,normal
1601130,Firefox,Messaging System,nobody,RESOLVED,WONTFIX,"about:welcome redirects to ""Would you like to sync device to your account?"" page when already signed into sync", ---,P3,normal
1601548,Firefox,Search,nobody,RESOLVED,INCOMPLETE,Search engines replaced unexpectedly, ---,P3,normal
1601552,Firefox,about:logins,nobody,RESOLVED,DUPLICATE,Copying website address doesn't copy website address, ---,P3,normal
1601735,Firefox,Security,nobody,RESOLVED,DUPLICATE,Untrusted and expired cert shows expiry message that implies it is trusted, ---,P3,normal
1601892,Firefox,New Tab Page,nobody,RESOLVED,DUPLICATE,Search suggestions on new tab overflow, ---,P3,normal
1601922,Firefox,Address Bar,nobody,RESOLVED,WONTFIX,"2.04 - 3.17% sessionrestore / startup_about_home_paint_realworld_webextensions (linux64-shippable-qr, windows10-64-shippable) regression on push 3a083701018bf872acfc5e391312042d8d246aa4 (Wed December 4 2019)", ---,P3,normal
1602197,Firefox,General,nobody,RESOLVED,WONTFIX,Block launching the same SSB twice, ---,P3,normal
1602240,Firefox,Sync,nobody,RESOLVED,INCOMPLETE,Make more use of available vertical space in the synced tabs when opened via touch, ---,P3,normal
1602385,Firefox,Site Permissions,nobody,RESOLVED,WORKSFORME,The User is unable to Navigate through the Notifications prompt using the keyboard, ---,P3,normal
1602504,Firefox,Address Bar,nobody,RESOLVED,INCOMPLETE,Displayed URL search suggestions are wrong when navigating too fast, ---,P3,S3
1602528,Firefox,General,nobody,RESOLVED,WONTFIX,Localize SSB UI, ---,P3,normal
1602553,Firefox,File Handling,nobody,RESOLVED,INCOMPLETE,Can't open office files when using Parallels RAS, ---,P3,normal
1602558,Firefox,Messaging System,nobody,RESOLVED,WONTFIX,Expose ASRouter targeting constant for Firefox Lockwise, ---,P3,normal
